artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),contains
"[""Howlin' Wolf""]",[276085],0.546,0.185,0.682,69.028,-18.752,1,9,0.7609999999999999,1.1e-06,0.218,0.0409,0,149400,44,1962,1/11/1962,Little Red Rooster,True
"[""Howlin' Wolf""]",[276085],0.5,0.256,0.726,159.608,-19.64,1,0,0.764,0.000308,0.0754,0.185,0,173707,37,1958,3/1/1958,Evil (Is Going On),True
"[""Howlin' Wolf""]",[276085],0.528,0.5920000000000001,0.925,156.623,-14.040999999999999,0,9,0.747,1.13e-06,0.203,0.0621,0,173533,41,1962,1/11/1962,Back Door Man,True
"[""Howlin' Wolf""]",[276085],0.721,0.62,0.644,118.696,-9.775,1,9,0.379,4.31e-05,0.344,0.0326,0,172827,42,1966,1/11/1966,******* Floor,True
"[""Howlin' Wolf""]",[276085],0.696,0.153,0.386,110.749,-19.335,1,4,0.977,0.0013800000000000002,0.12,0.0399,0,172627,31,1958,3/1/1958,I Asked For Water,True
"[""Howlin' Wolf""]",[276085],0.40299999999999997,0.653,0.7390000000000001,93.421,-13.305,0,11,0.7170000000000001,0.0,0.203,0.037000000000000005,0,147400,35,1962,1/11/1962,**** Dang Doodle,True
"[""Howlin' Wolf""]",[276085],0.7070000000000001,0.184,0.745,135.753,-16.146,0,11,0.5710000000000001,1.23e-05,0.175,0.0362,0,178733,28,1958,3/1/1958,No Place To Go (You Gonna Wreck My Life),True
"[""Howlin' Wolf""]",[276085],0.622,0.507,0.7709999999999999,130.97299999999998,-15.561,1,5,0.493,3.35e-05,0.0626,0.0459,0,175467,29,1958,3/1/1958,Baby How Long,True
"[""Howlin' Wolf""]",[276085],0.757,0.441,0.59,140.141,-15.770999999999999,1,0,0.7390000000000001,0.5579999999999999,0.141,0.0325,0,170000,27,1958,3/1/1958,Forty Four,True
"[""Howlin' Wolf""]",[276085],0.44299999999999995,0.445,0.5429999999999999,145.591,-12.895,1,5,0.9209999999999999,0.000155,0.11199999999999999,0.0291,0,171507,28,1958,3/1/1958,Moanin' For My Baby,True
"[""Howlin' Wolf""]",[276085],0.47200000000000003,0.375,0.955,98.14399999999999,-16.597,1,0,0.982,0.0172,0.26,0.0577,0,135600,27,1958,3/1/1958,All ***** Boogie (All ***** Long),True
"[""Howlin' Wolf""]",[276085],0.69,0.444,0.763,110.95,-14.450999999999999,1,0,0.899,0.006220000000000001,0.187,0.0443,0,180960,27,1958,3/1/1958,I'm Leavin You,True
"[""Howlin' Wolf""]",[276085],0.527,0.41700000000000004,0.733,81.931,-14.285,1,2,0.682,0.000642,0.868,0.0416,0,207333,29,1962,1/11/1962,Goin' Down Slow,True
"[""Howlin' Wolf""]",[276085],0.5579999999999999,0.312,0.768,81.013,-17.257,0,2,0.716,2.44e-06,0.163,0.0386,0,156960,29,1962,1/11/1962,Howlin' For My Darlin',True
"[""Howlin' Wolf""]",[276085],0.638,0.252,0.551,111.573,-18.639,1,9,0.782,0.0906,0.14400000000000002,0.0361,0,146867,25,1958,3/1/1958,******** In My Home,True
"[""Howlin' Wolf""]",[276085],0.747,0.552,0.9690000000000001,123.86399999999999,-13.592,0,11,0.547,0.0,0.133,0.0455,0,139760,26,1962,1/11/1962,Shake For Me,True
"[""Howlin' Wolf""]",[276085],0.573,0.303,0.617,102.715,-14.819,0,9,0.9229999999999999,0.00403,0.106,0.046,0,146173,26,1962,1/11/1962,Who's Been Talking?,True
"[""Howlin' Wolf""]",[276085],0.6759999999999999,0.511,0.9640000000000001,148.565,-8.522,1,0,0.5379999999999999,0.0,0.0574,0.0396,0,186733,33,1966,1/11/1966,***** Hundred Pounds Of Joy,True
"[""Howlin' Wolf""]",[276085],0.498,0.491,0.8220000000000001,132.64700000000002,-9.612,1,2,0.386,0.0,0.0766,0.032,0,159400,31,1966,1/11/1966,Built For Comfort,True
"[""Howlin' Wolf""]",[276085],0.561,0.446,0.8240000000000001,110.98200000000001,-15.719000000000001,0,9,0.54,0.00313,0.151,0.039,0,150933,23,1962,1/11/1962,You'll Be Mine,True
"[""Howlin' Wolf""]",[276085],0.659,0.386,0.873,138.941,-14.485,1,2,0.8009999999999999,0.0,0.115,0.0958,0,168293,23,1962,1/11/1962,Little Baby,True
"[""Howlin' Wolf""]",[276085],0.392,0.47100000000000003,0.638,187.356,-9.186,1,7,0.648,0.0,0.0703,0.0492,0,179400,29,1966,1/11/1966,Tail Dragger,True
"[""Howlin' Wolf""]",[276085],0.708,0.529,0.62,109.18299999999999,-11.821,1,5,0.309,0.0174,0.336,0.0681,0,155360,29,1966,1/11/1966,Sitting On Top Of The World,True
"[""Howlin' Wolf""]",[276085],0.425,0.561,0.763,132.80700000000002,-10.587,0,4,0.43200000000000005,0.000529,0.29600000000000004,0.0315,0,165907,28,1966,1/11/1966,Louise,True
"[""Howlin' Wolf""]",[276085],0.7659999999999999,0.46299999999999997,0.878,116.094,-14.804,1,7,0.8220000000000001,7.15e-06,0.345,0.0393,0,134173,21,1962,1/11/1962,Down In The Bottom,True
"[""Howlin' Wolf""]",[276085],0.695,0.429,0.8490000000000001,115.19,-16.160999999999998,1,0,0.6859999999999999,0.000538,0.214,0.0429,0,178333,20,1962,1/11/1962,Tell Me,True
"[""Howlin' Wolf""]",[276085],0.685,0.461,0.647,135.418,-11.227,1,2,0.6759999999999999,0.0181,0.131,0.0407,0,165067,26,1966,1/11/1966,Nature,True
['Sex Pistols'],[418740],0.258,0.92,0.527,146.597,-8.955,1,8,0.092,0.0,0.0909,0.0574,0,191760,36,1989,1/1/1989,I Wanna Be Me,True
['Sex Pistols'],[418740],0.171,0.802,0.8,159.3,-8.754,1,4,0.000285,0.0,0.7490000000000001,0.0374,0,172920,30,1977,1/1/1977,Feelings - No Feelings,True
['Sex Pistols'],[418740],0.262,0.946,0.5660000000000001,147.04,-6.08,1,8,0.007520000000000001,0.0,0.327,0.0737,0,194227,29,1977,1/1/1977,Just Me - I Wanna Be Me,True
['Sex Pistols'],[418740],0.311,0.922,0.102,132.602,-6.8260000000000005,0,6,1.3300000000000001e-05,0.000524,0.10400000000000001,0.0891,0,249413,30,1977,1/1/1977,Nookie - Anarchy In the U.K.,True
['Sex Pistols'],[418740],0.484,0.963,0.429,133.83,-6.523,1,4,0.00023700000000000001,8.22e-06,0.10300000000000001,0.107,0,188333,27,1977,1/1/1977,Looking for a Kiss - New York,True
['Sex Pistols'],[418740],0.409,0.971,0.115,141.16899999999998,-7.436,0,10,7.140000000000001e-05,0.0,0.124,0.15,0,199053,27,1977,1/1/1977,Who Was It - E.M.I.,True
['Sex Pistols'],[418740],0.32299999999999995,0.978,0.168,134.222,-3.841,1,5,0.0422,0.00018999999999999998,0.201,0.11800000000000001,0,211973,55,1977,10/27/1977,Anarchy in the U.K.,True
['Sex Pistols'],[418740],0.27399999999999997,0.9079999999999999,0.483,148.246,-5.419,1,9,0.00103,0.0021899999999999997,0.154,0.0691,0,200080,51,1977,10/27/1977,**** Save the Queen,True
['Sex Pistols'],[418740],0.258,0.932,0.33399999999999996,145.582,-5.194,1,2,0.0467,8.09e-06,0.142,0.0702,0,198160,45,1977,10/27/1977,Pretty Vacant,True
['Sex Pistols'],[418740],0.209,0.9790000000000001,0.21899999999999997,147.9,-4.791,1,7,0.14300000000000002,6.95e-05,0.319,0.213,0,202800,43,1977,10/27/1977,Holidays in the Sun,True
['Sex Pistols'],[418740],0.157,0.9890000000000001,0.196,157.609,-5.065,1,9,0.0324,3.3799999999999995e-05,0.337,0.222,1,183000,40,1977,10/27/1977,Bodies,True
['Sex Pistols'],[418740],0.28600000000000003,0.961,0.5920000000000001,164.291,-5.742999999999999,1,5,0.0315,3.91e-06,0.3,0.18,0,171173,37,1977,10/27/1977,No Feelings,True
['Sex Pistols'],[418740],0.363,0.873,0.5589999999999999,122.887,-5.216,1,5,0.0179,0.000713,0.153,0.0472,0,252680,35,1977,10/27/1977,Sub-Mission,True
['Sex Pistols'],[418740],0.231,0.968,0.195,154.447,-5.322,1,2,0.0046700000000000005,0.000252,0.359,0.15,0,251360,34,1977,10/27/1977,Problems,True
['Sex Pistols'],[418740],0.34299999999999997,0.9620000000000001,0.312,149.067,-4.984,1,2,0.00632,5.920000000000001e-05,0.0852,0.0612,0,161533,33,1977,10/27/1977,Liar,True
['Sex Pistols'],[418740],0.19699999999999998,0.9540000000000001,0.475,145.102,-3.687,1,10,0.00502,0.0985,0.122,0.156,0,193653,32,1977,10/27/1977,EMI,True
['Sex Pistols'],[418740],0.34700000000000003,0.922,0.532,144.004,-6.523,1,9,0.0667,0.635,0.18100000000000002,0.0487,0,122707,32,1977,10/27/1977,Seventeen,True
['Sex Pistols'],[418740],0.365,0.943,0.581,137.572,-5.154,1,9,0.0121,0.00518,0.377,0.0888,0,186893,31,1977,10/27/1977,New York,True
['Sex Pistols'],[418740],0.34299999999999997,0.948,0.44,143.351,-6.876,0,6,0.0017699999999999999,0.0,0.22399999999999998,0.10099999999999999,0,219880,39,1977,1/1/1977,No Future - **** Save the Queen,True
['Deep Purple'],[192382],0.377,0.21600000000000003,0.0942,140.674,-16.347,0,11,0.496,0.000616,0.0978,0.0392,0,305760,23,1969,6/21/1969,Lalena,True
['Deep Purple'],[192382],0.305,0.6920000000000001,0.8590000000000001,88.256,-12.341,0,4,0.062,0.135,0.0599,0.0535,0,256093,27,1970,6/3/1970,***********,True
['Deep Purple'],[192382],0.691,0.528,0.7709999999999999,98.204,-13.392000000000001,1,5,0.183,0.0011300000000000001,0.174,0.0261,0,263520,26,1974,1974-11,Love Don't Mean a Thing,True
['Deep Purple'],[192382],0.374,0.67,0.36200000000000004,136.548,-7.694,1,7,0.0156,0.000414,0.0924,0.0307,0,235960,42,1984,9/16/1984,Wasted Sunsets,True
['Deep Purple'],[192382],0.49700000000000005,0.787,0.812,134.59799999999998,-11.039000000000001,1,9,0.165,0.522,0.17,0.0734,0,207467,40,2000,5/9/2000,Black *****,True
['Deep Purple'],[192382],0.608,0.688,0.7490000000000001,114.414,-7.655,0,5,0.134,0.20600000000000002,0.0951,0.0296,0,334240,44,2005,6/21/2005,Smoke on the Water,True
['Deep Purple'],[192382],0.21600000000000003,0.591,0.268,153.705,-9.307,1,9,0.00225,0.745,0.265,0.0438,0,453960,22,1968,7/1/1968,Hey Joe,True
['Deep Purple'],[192382],0.387,0.836,0.7509999999999999,115.161,-11.889000000000001,1,9,0.013000000000000001,0.09699999999999999,0.28300000000000003,0.0546,0,477960,25,1970,6/3/1970,Flight of the Rat,True
['Deep Purple'],[192382],0.365,0.8809999999999999,0.6990000000000001,187.208,-11.154000000000002,1,7,0.00234,0.0303,0.141,0.1,0,201333,25,1974,1974-11,Lady Double Dealer,True
['Deep Purple'],[192382],0.49,0.89,0.852,133.69899999999998,-6.599,1,2,0.0029100000000000003,0.000923,0.0359,0.040999999999999995,0,240027,40,1984,9/16/1984,******** Home,True
['Deep Purple'],[192382],0.37,0.7859999999999999,0.27399999999999997,139.306,-8.866,1,8,0.00839,0.773,0.113,0.0831,0,278400,21,1968,7/1/1968,And The Address,True
['Deep Purple'],[192382],0.20199999999999999,0.406,0.0398,64.626,-12.429,1,0,0.0966,0.33399999999999996,0.0869,0.0362,0,361400,20,1968,7/1/1968,Help,True
['Deep Purple'],[192382],0.483,0.414,0.629,85.655,-13.442,1,11,0.146,0.0672,0.20199999999999999,0.0323,0,210107,25,1970,6/3/1970,Into the Fire,True
['Deep Purple'],[192382],0.305,0.857,0.546,137.783,-9.716000000000001,0,11,0.0333,0.7959999999999999,0.34299999999999997,0.0771,0,369560,20,1968,7/1/1968,Mandrake Root,True
['Deep Purple'],[192382],0.37,0.746,0.573,93.869,-8.732000000000001,1,0,0.0182,4.94e-06,0.0922,0.0608,0,219893,20,1968,7/1/1968,One More Rainy Day,True
['Deep Purple'],[192382],0.273,0.5710000000000001,0.128,136.783,-9.427999999999999,1,9,0.0255,0.23600000000000002,0.124,0.0463,0,439373,20,1968,7/1/1968,Prelude: Happiness / I'm So Glad,True
['Deep Purple'],[192382],0.532,0.6709999999999999,0.816,125.75399999999999,-11.049000000000001,1,4,0.00282,0.0029,0.33799999999999997,0.0436,0,247000,24,1971,1971,Strange Kind of Woman,True
['Deep Purple'],[192382],0.348,0.359,0.203,87.15100000000001,-11.69,0,7,0.11900000000000001,0.248,0.14,0.0305,0,730267,21,1969,6/21/1969,April,True
['Deep Purple'],[192382],0.496,0.599,0.72,106.14200000000001,-13.76,0,6,0.0653,0.637,0.0919,0.0349,0,274560,23,1970,6/3/1970,Living Wreck,True
['Deep Purple'],[192382],0.534,0.57,0.644,97.365,-12.385,1,2,0.00698,0.0237,0.156,0.025,0,321093,44,1992,3/1/1992,Perfect Strangers,True
['Deep Purple'],[192382],0.599,0.271,0.21600000000000003,129.173,-10.724,0,11,0.8640000000000001,0.0243,0.0553,0.0358,0,211400,39,2001,1/30/2001,When a Blind Man Cries - **** Remaster,True
['Deep Purple'],[192382],0.332,0.716,0.523,143.4,-9.546,0,2,0.11,0.9059999999999999,0.43,0.0695,0,313667,18,1968,10/1/1968,Wring That Neck,True
['Deep Purple'],[192382],0.534,0.693,0.586,104.24,-12.985,1,9,0.004070000000000001,0.00011899999999999999,0.358,0.0511,0,167555,24,1975,1975,Lady Luck,True
['Deep Purple'],[192382],0.55,0.795,0.617,122.447,-10.423,1,9,0.00109,0.0856,0.10300000000000001,0.0347,0,286733,41,1987,1987,Bad ********,True
['Deep Purple'],[192382],0.46,0.47200000000000003,0.863,92.914,-11.897,1,7,0.00463,0.48,0.10300000000000001,0.0271,0,414827,21,1971,1971,No No No,True
['Deep Purple'],[192382],0.17600000000000002,0.892,0.34700000000000003,187.888,-9.083,1,2,2.25e-05,0.4,0.418,0.0748,0,403000,22,1972,12/1/1972,Highway Star - Live,True
['Deep Purple'],[192382],0.382,0.562,0.665,97.47200000000001,-15.304,1,2,0.00253,0.385,0.402,0.0291,0,322933,23,1973,1/13/1973,Rat Bat ****,True
['Deep Purple'],[192382],0.44799999999999995,0.8690000000000001,0.648,150.20600000000002,-6.335,0,6,0.000204,0.00305,0.165,0.0341,0,278827,35,1984,9/16/1984,Under The Gun,True
['Deep Purple'],[192382],0.512,0.562,0.313,106.456,-13.677999999999999,1,0,0.0341,2.38e-06,0.193,0.0507,0,284600,20,1971,1971,Anyone's Daughter,True
['Deep Purple'],[192382],0.376,0.647,0.354,119.137,-10.046,1,0,0.00151,0.271,0.381,0.0573,0,456627,21,1972,12/1/1972,Smoke on the Water - Live,True
['Deep Purple'],[192382],0.5660000000000001,0.8440000000000001,0.534,129.966,-6.242999999999999,0,6,0.24,0.00023500000000000002,0.0799,0.043,0,297813,19,1974,2/15/1974,What's Going on Here,True
['Deep Purple'],[192382],0.607,0.784,0.643,111.87100000000001,-6.035,1,9,0.026000000000000002,0.00124,0.16,0.0269,0,326013,41,1990,10/5/1990,King of Dreams,True
['Deep Purple'],[192382],0.379,0.369,0.33299999999999996,88.09200000000001,-12.664000000000001,1,9,0.434,0.00264,0.113,0.0327,0,391867,17,1968,10/1/1968,Anthem,True
['Deep Purple'],[192382],0.627,0.932,0.626,108.194,-11.345999999999998,1,0,0.00116,0.353,0.113,0.0631,0,334840,18,1969,6/21/1969,Chasing Shadows,True
['Deep Purple'],[192382],0.414,0.875,0.6559999999999999,129.748,-8.817,1,0,0.000633,0.504,0.0623,0.14300000000000002,0,304173,17,1969,6/21/1969,Why Didn't Rosemary?,True
['Deep Purple'],[192382],0.537,0.7170000000000001,0.34700000000000003,123.988,-11.679,1,9,0.0184,0.000184,0.183,0.196,0,385813,19,1971,1971,No One Came,True
['Deep Purple'],[192382],0.39899999999999997,0.815,0.643,97.523,-11.524000000000001,1,0,0.14300000000000002,0.0122,0.251,0.0338,0,363667,21,1978,1978,Burn,True
['Deep Purple'],[192382],0.415,0.345,0.267,178.275,-12.239,0,2,0.00144,0.8059999999999999,0.0339,0.0319,0,602067,33,1984,9/16/1984,Son Of Alerik,True
['Deep Purple'],[192382],0.425,0.779,0.867,142.736,-6.651,1,9,0.00044100000000000004,0.0197,0.474,0.0324,0,262093,33,1984,9/16/1984,Mean Streak,True
['Deep Purple'],[192382],0.233,0.42,0.0704,107.779,-8.104,0,9,0.264,8.7e-05,0.0884,0.0286,0,224680,42,1990,10/5/1990,Love Conquers All,True
['Deep Purple'],[192382],0.409,0.77,0.46299999999999997,152.54399999999998,-9.111,0,11,0.0212,0.000368,0.358,0.111,0,229107,16,1968,7/1/1968,Love Help Me,True
['Deep Purple'],[192382],0.514,0.469,0.266,93.96700000000001,-14.539000000000001,0,11,0.0186,0.000341,0.0827,0.0287,0,500333,19,1971,1971,Fools,True
['Deep Purple'],[192382],0.507,0.41700000000000004,0.39899999999999997,141.377,-14.479000000000001,1,7,0.345,8.93e-06,0.128,0.0344,0,269800,18,1974,1974-11,Holy Man,True
['Deep Purple'],[192382],0.575,0.5479999999999999,0.455,126.49799999999999,-12.793,1,7,0.0987,0.00187,0.0764,0.0358,0,332733,20,1978,1978,Woman from Tokyo,True
['Deep Purple'],[192382],0.5770000000000001,0.731,0.609,123.904,-7.989,0,2,0.00119,0.000442,0.0381,0.0297,0,298693,33,1984,9/16/1984,Hungry Daze,True
['Deep Purple'],[192382],0.5770000000000001,0.664,0.16399999999999998,108.44200000000001,-9.152999999999999,1,10,0.00533,0.111,0.142,0.0461,0,264973,56,1968,7/1/1968,Hush,True
['Deep Purple'],[192382],0.632,0.586,0.89,114.243,-11.333,1,0,0.0983,0.581,0.0535,0.0284,0,342173,64,1972,3/25/1972,Smoke on the Water,True
['Deep Purple'],[192382],0.298,0.895,0.544,173.737,-7.647,0,9,0.0283,0.0057399999999999994,0.305,0.0547,0,368507,60,1972,3/25/1972,Highway Star,True
['Deep Purple'],[192382],0.521,0.721,0.611,97.57799999999999,-7.699,1,2,0.0034799999999999996,0.0113,0.391,0.0254,0,328427,65,1984,9/16/1984,Perfect Strangers,True
['Deep Purple'],[192382],0.624,0.815,0.758,129.191,-10.542,1,9,0.00343,0.622,0.175,0.0425,0,274440,46,1972,3/25/1972,***** Truckin',True
['Deep Purple'],[192382],0.38,0.938,0.604,96.65299999999999,-6.183,1,7,0.0109,0.0257,0.366,0.0384,0,364747,46,1974,2/15/1974,Burn - **** Remaster,True
['Deep Purple'],[192382],0.33799999999999997,0.461,0.35100000000000003,126.698,-10.74,0,9,0.17,0.564,0.0927,0.0396,0,620373,46,1970,6/3/1970,Child in Time,True
['Deep Purple'],[192382],0.35600000000000004,0.66,0.409,187.83700000000002,-11.450999999999999,0,7,0.196,0.5870000000000001,0.0934,0.0632,0,442627,42,1972,3/25/1972,Lazy,True
['Deep Purple'],[192382],0.546,0.27399999999999997,0.228,66.809,-15.07,0,2,0.41700000000000004,2.99e-05,0.109,0.027000000000000003,0,193653,42,1974,1974-11,Soldier of Fortune,True
['Deep Purple'],[192382],0.524,0.818,0.525,121.699,-6.7010000000000005,0,11,0.000915,4.47e-05,0.0916,0.0406,0,425200,53,1984,9/16/1984,Knocking At Your Back Door,True
['Deep Purple'],[192382],0.34299999999999997,0.396,0.314,171.41099999999997,-10.395,1,0,0.035,0.00364,0.18899999999999997,0.0363,0,284533,36,1968,10/1/1968,Kentucky Woman,True
['Deep Purple'],[192382],0.682,0.45,0.8290000000000001,114.12299999999999,-15.978,1,0,0.27,0.213,0.183,0.0321,0,231307,40,1973,1/1/1973,Smoke on the Water (45 Version),True
['Deep Purple'],[192382],0.5870000000000001,0.616,0.473,108.838,-14.234000000000002,1,5,0.24600000000000002,0.162,0.079,0.0486,0,266240,41,1978,1978,Hush,True
['Deep Purple'],[192382],0.348,0.675,0.8370000000000001,99.569,-13.931,1,5,5.56e-05,0.00863,0.373,0.0355,0,263947,37,1970,6/3/1970,***** King,True
['Deep Purple'],[192382],0.5820000000000001,0.5429999999999999,0.42100000000000004,126.99,-13.045,1,9,0.14,0.00149,0.115,0.0351,0,348640,39,1973,1/13/1973,Woman from Tokyo,True
['Deep Purple'],[192382],0.423,0.627,0.524,127.65299999999999,-6.612,0,6,0.0653,0.0177,0.34,0.0374,0,448080,33,1974,2/15/1974,Mistreated,True
['Deep Purple'],[192382],0.33799999999999997,0.831,0.653,177.72799999999998,-11.448,0,11,0.0131,8.08e-06,0.22899999999999998,0.0649,0,246187,32,1974,1974-11,Stormbringer,True
['Deep Purple'],[192382],0.426,0.7709999999999999,0.6729999999999999,120.464,-11.845,1,7,0.000801,0.0635,0.139,0.0703,0,217060,35,1975,1975,Gettin' Tighter,True
['Deep Purple'],[192382],0.49,0.45,0.8640000000000001,173.329,-10.384,1,10,0.0327,0.19699999999999998,0.153,0.0288,0,292400,33,1972,3/25/1972,Maybe I'm a Leo,True
['Deep Purple'],[192382],0.444,0.907,0.88,148.93,-9.648,1,7,0.0117,0.28800000000000003,0.175,0.0557,0,306133,32,1972,3/25/1972,Pictures of Home,True
['Deep Purple'],[192382],0.5820000000000001,0.752,0.857,95.53200000000001,-6.461,0,9,0.0591,0.0,0.34600000000000003,0.0231,0,352093,31,1974,2/15/1974,Sail Away,True
['Deep Purple'],[192382],0.534,0.9079999999999999,0.742,121.13,-11.254000000000001,0,11,0.00203,0.000509,0.136,0.0626,0,204667,32,1971,1971,Fireball,True
['Deep Purple'],[192382],0.601,0.774,0.586,112.238,-6.059,1,7,0.0508,3.21e-05,0.136,0.0299,0,280333,29,1974,2/15/1974,Might Just Take Your Life,True
['Deep Purple'],[192382],0.594,0.596,0.889,142.597,-10.482999999999999,0,11,0.0562,0.0293,0.0917,0.0357,0,240493,31,1972,3/25/1972,Never Before,True
['Deep Purple'],[192382],0.519,0.893,0.7190000000000001,111.228,-6.676,1,0,0.00011200000000000001,0.255,0.299,0.0367,0,312827,44,1984,9/16/1984,A Gypsy's Kiss,True
